open_at,close_at,long_close_at,short_close_at,cex,act_name,symbol,deal_usdt,lever,long_size,short_size,status,up_status,px,long_trigger_px,long_fx_trigger_px,short_trigger_px,short_fx_trigger_px,pnl,pnl_ratio,long_order_id,long_client_order_id,long_tracking_no,long_open_usdt,long_open_px,long_achieved_pl,long_close_px,long_fee,short_order_id,short_client_order_id,short_tracking_no,short_open_usdt,short_open_px,short_achieved_pl,short_close_px,short_fee
1769997489246,,,,bitget,bitget_C,XAUTUSDT,300.0,2,0.12,0.12,0,0,4722.9,4853.3,2361.5,4831.5,4614.3,,,1402036583808479233,27d1ceb9-5674-48d2-a5d8-da225feed6f7,1402036584133021696,566.508,4720.9,,,,1402036581082181633,52dafce5-4341-41fd-82b6-677994cbd4c6,1402036581452861440,566.494,4720.7,,,
1769872653879,,,1769881664885,bitget,bitget_C,XAUTUSDT,500.0,2,0.2,0.2,0,1,4893.6,5006.6,195.7,4996.4,4790.8,,,1401519691117211651,7f837c3f-6901-46c0-bc34-048c2854b1f8,1401519691487891456,977.848,4889.3,,,,1401512980625076226,48d40064-f969-4f39-881f-9724f551b701,1401512980995756032,978.586,4892.9,19.10299999,4790.9,-1.1620596
1769876869669,,,1769899756750,bitget,bitget_C,XAUTUSDT,500.0,2,0.2,0.2,0,1,4880.1,4992.8,195.2,4982.6,4777.6,,,1401530666658672641,d45a3e66-4cc4-4382-86b9-ef64b4a2d38e,1401530666999992321,976.099,4880.5,,,,1401530664095952898,da80d58d-15c5-466f-8c9d-c782062b35c0,1401530664454049792,975.98,4879.9,21.75099999,4777.6,-1.1589072
1769937752902,,,1769987488499,bitget,bitget_C,XAUTUSDT,500.0,2,0.2,0.2,0,1,4835.4,4968.9,2417.7,4946.6,4724.2,,,1401786034269827092,6a90195d-7bfd-42f8-a51f-6ecdf92a9ec5,1401786034632118273,966.98,4834.9,,,,1401786031765827585,5e3e7e41-3f59-4469-8235-8f3fbd902273,1401786032123924480,966.96,4834.8,21.42,4727.7,-1.1475
